,YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,COOP_ID,type,COOP_NAME,DIV,LATITUDE,LONGITUDE
0,1966,38.29,42.33,48.13,57.52,64.4,64.77,70.23,75.16,67.3,58.0,47.87,42.13,57.64,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
1,1967,39.7,45.12,45.5,44.1,60.74,68.47,75.9,77.66,71.48,57.37,51.82,34.6,70.18,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
2,1968,37.07,47.96,48.62,,58.58,67.92,75.92,70.52,68.95,57.45,44.73,37.63,60.21,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
3,1969,36.94,40.71,46.44,52.65,64.53,68.7,74.35,72.6,69.97,54.28,48.15,43.06,57.21,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
4,1970,42.75,47.15,49.0,48.63,61.53,70.8,76.71,74.5,65.97,56.77,47.27,36.48,59.85,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
5,1971,38.4,42.18,44.23,49.45,58.87,64.38,74.23,75.45,65.53,54.4,43.28,34.4,53.73,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
6,1972,36.74,43.38,50.45,50.59,62.05,68.95,75.92,72.9,64.1,56.4,45.59,33.67,55.06,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
7,1973,37.98,44.98,45.08,54.07,63.58,68.43,74.34,72.5,66.37,55.95,41.88,42.07,56.92,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
8,1974,41.4,42.23,48.07,49.12,58.54,70.5,72.27,73.58,72.86,58.37,48.5,42.72,64.05,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
9,1975,40.12,40.92,43.92,48.57,60.84,68.03,73.32,72.32,72.25,55.3,44.6,42.15,59.71,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
10,1976,40.76,42.84,47.45,50.95,62.66,65.82,74.48,69.71,69.57,61.85,53.3,39.71,58.25,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
11,1977,38.69,46.83,45.15,56.1,54.15,73.07,74.24,77.69,67.38,,45.5,44.13,58.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
12,1978,45.0,46.22,53.44,50.98,59.15,68.82,75.58,73.27,64.67,61.64,43.9,37.61,56.69,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
13,1979,38.85,42.41,49.65,52.0,62.44,68.63,75.0,71.44,70.52,60.39,45.97,43.07,57.94,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
14,1980,42.41,47.27,47.81,55.78,59.23,63.17,75.52,73.63,68.62,60.61,47.47,43.1,60.79,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
15,1981,44.84,46.41,48.27,55.38,59.52,68.7,75.0,75.37,69.6,56.09,50.98,45.74,59.11,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
16,1982,39.28,45.75,47.04,51.0,64.15,69.77,72.93,73.93,65.72,57.84,46.71,41.57,70.59,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
17,1983,43.92,45.38,49.42,52.19,63.71,66.62,69.18,73.94,68.34,60.23,46.59,43.65,68.04,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
18,1984,45.12,44.97,52.62,49.54,62.25,66.69,77.02,74.18,68.87,56.26,46.18,42.05,71.69,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
19,1985,42.57,46.46,46.7,58.07,62.36,72.52,78.37,72.85,65.78,59.1,44.61,40.9,72.38,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
20,1986,46.96,49.32,57.43,55.71,63.93,73.18,73.22,78.77,64.43,59.93,50.28,44.04,72.4,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
21,1987,42.63,46.18,50.29,62.59,64.72,72.72,70.5,76.25,69.19,65.55,51.88,41.39,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
22,1988,41.63,46.96,51.97,58.3,58.5,67.71,75.33,76.25,70.81,64.96,49.8,44.23,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
23,1989,41.76,42.63,50.17,60.58,60.3,70.32,71.89,71.54,67.5,54.57,46.27,40.79,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
24,1990,42.88,42.29,52.6,61.26,59.72,,76.95,74.24,68.5,59.98,44.52,36.15,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
25,1991,39.33,49.97,42.98,51.82,57.73,,76.22,73.14,71.75,57.64,46.84,38.64,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
26,1992,40.31,50.68,55.11,58.52,68.88,73.5,74.52,77.12,70.0,60.08,47.88,37.97,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
27,1993,40.08,44.23,54.35,54.11,61.98,65.48,69.43,73.05,69.68,60.62,46.33,38.65,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
28,1994,44.85,41.55,53.75,,63.81,,,74.31,71.89,,45.56,41.23,,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
29,1995,45.0,51.65,47.45,,,71.36,73.77,74.12,72.53,56.93,53.13,45.98,52.01,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
30,1996,42.71,47.76,51.13,55.17,59.74,66.88,78.0,74.48,66.43,58.6,50.0,42.48,57.78,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
31,1997,42.92,46.48,51.21,54.0,64.72,65.66,72.81,73.48,67.02,55.58,50.1,40.71,57.06,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
32,1998,43.74,43.15,49.95,52.23,55.26,67.09,75.67,75.91,71.46,56.58,47.2,38.82,56.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
33,1999,41.44,41.02,47.0,51.98,60.13,66.62,72.57,73.1,68.41,59.03,51.28,40.97,56.13,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
34,2000,43.65,47.1,48.87,57.21,61.45,70.97,71.71,73.92,67.56,57.93,44.61,41.95,57.24,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
35,2001,40.57,41.98,52.48,51.21,66.21,67.03,74.29,74.62,69.68,60.19,49.25,41.55,57.42,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
36,2002,41.4,46.39,47.38,56.2,59.66,67.59,77.22,73.88,70.35,57.43,47.58,43.27,56.43,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
37,2003,47.43,45.96,50.41,48.73,59.31,69.37,76.39,73.18,69.08,59.73,44.58,43.64,57.32,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
38,2004,41.77,44.95,54.27,54.91,61.21,68.27,76.11,74.58,66.42,57.58,46.43,41.68,57.35,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
39,2005,42.42,47.05,51.32,52.47,59.26,62.17,75.37,74.97,64.91,56.02,46.31,42.55,56.23,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
40,2006,41.56,44.59,43.27,52.93,62.05,69.03,76.34,72.07,64.95,55.85,47.25,40.63,55.88,40738,t,BIG BAR 4,1,40 44 27,-123 12 33
