,longitude,latitude,day,month,year,native,species,DOY,geometry,ClimateDivision
1,-121.495,36.166,28,04,1968,yes,Lasthenia californica,119,POINT (-121.495 36.166),4
7,-120.536,35.05,20,04,1977,yes,Lasthenia californica,110,POINT (-120.536 35.05),4
9,-117.05,33.443,01,03,1997,yes,Lasthenia californica,60,POINT (-117.05 33.443),6
10,-118.765,34.748,24,04,1996,yes,Lasthenia californica,115,POINT (-118.765 34.748),6
16,-118.902,34.228,20,04,2001,yes,Lasthenia californica,110,POINT (-118.902 34.228),6
22,-117.982,35.342,27,03,2011,yes,Lasthenia californica,86,POINT (-117.982 35.342),7
25,-122.46,38.622,03,04,1972,yes,Lasthenia californica,94,POINT (-122.46 38.622),2
26,-122.744,38.84,08,06,1983,yes,Lasthenia californica,159,POINT (-122.744 38.84),2
27,-122.378,38.503,10,04,1969,yes,Lasthenia californica,100,POINT (-122.378 38.503),1
28,-122.468,38.608,11,04,1970,yes,Lasthenia californica,101,POINT (-122.468 38.608),2
29,-122.465,38.677,11,04,1971,yes,Lasthenia californica,101,POINT (-122.465 38.677),2
30,-122.591,38.653,26,03,1978,yes,Lasthenia californica,85,POINT (-122.591 38.653),2
31,-122.334,38.619,02,04,1984,yes,Lasthenia californica,93,POINT (-122.334 38.619),2
32,-119.658,35.617,14,04,1986,yes,Lasthenia californica,104,POINT (-119.658 35.617),5
33,-119.288,35.267,17,04,1986,yes,Lasthenia californica,107,POINT (-119.288 35.267),5
34,-122.383,38.505,10,04,1971,yes,Lasthenia californica,100,POINT (-122.383 38.505),1
35,-122.465,38.588,01,04,1986,yes,Lasthenia californica,91,POINT (-122.465 38.588),1
36,-122.469,38.591,02,04,1986,yes,Lasthenia californica,92,POINT (-122.469 38.591),1
37,-122.383,38.502,17,04,1985,yes,Lasthenia californica,107,POINT (-122.383 38.502),1
38,-118.918,35.199,17,04,1986,yes,Lasthenia californica,107,POINT (-118.918 35.199),5
39,-122.298,38.62,25,04,1971,yes,Lasthenia californica,115,POINT (-122.298 38.62),2
40,-122.44,38.568,20,04,1972,yes,Lasthenia californica,111,POINT (-122.44 38.568),1
41,-122.44,38.568,20,04,1972,yes,Lasthenia californica,111,POINT (-122.44 38.568),1
42,-122.458,38.562,18,04,1972,yes,Lasthenia californica,109,POINT (-122.458 38.562),1
43,-123.176,41.416,04,09,1968,yes,Lasthenia californica,248,POINT (-123.176 41.416),1
44,-122.063,37.071,13,05,1986,yes,Lasthenia californica,133,POINT (-122.063 37.071),4
45,-120.472,37.836,14,04,1984,yes,Lasthenia californica,105,POINT (-120.472 37.836),5
46,-122.453,38.57,19,04,1972,yes,Lasthenia californica,110,POINT (-122.453 38.57),1
47,-122.428,38.703,16,04,1966,yes,Lasthenia californica,106,POINT (-122.428 38.703),2
48,-122.45,38.573,04,04,1972,yes,Lasthenia californica,95,POINT (-122.45 38.573),1
49,-122.458,38.562,20,04,1972,yes,Lasthenia californica,111,POINT (-122.458 38.562),1
50,-122.447,38.577,05,04,1970,yes,Lasthenia californica,95,POINT (-122.447 38.577),1
51,-122.428,38.703,24,04,1970,yes,Lasthenia californica,114,POINT (-122.428 38.703),2
52,-122.403,38.748,24,04,1970,yes,Lasthenia californica,114,POINT (-122.403 38.748),2
53,-122.428,38.703,16,04,1967,yes,Lasthenia californica,106,POINT (-122.428 38.703),2
54,-122.417,38.7,21,04,1975,yes,Lasthenia californica,111,POINT (-122.417 38.7),2
55,-122.428,38.703,24,04,1970,yes,Lasthenia californica,114,POINT (-122.428 38.703),2
56,-122.4,38.642,28,03,1970,yes,Lasthenia californica,87,POINT (-122.4 38.642),2
57,-123.311,40.025,24,05,1980,yes,Lasthenia californica,145,POINT (-123.311 40.025),1
58,-123.394,40.004,25,05,1980,yes,Lasthenia californica,146,POINT (-123.394 40.004),1
59,-118.013,35.019,20,04,1982,yes,Lasthenia californica,110,POINT (-118.013 35.019),7
60,-122.762,38.838,26,05,1983,yes,Lasthenia californica,146,POINT (-122.762 38.838),2
61,-122.28,38.246,01,05,1983,yes,Lasthenia californica,121,POINT (-122.28 38.246),1
62,-122.447,38.577,05,04,1970,yes,Lasthenia californica,95,POINT (-122.447 38.577),1
63,-119.659,35.04,26,03,2005,yes,Lasthenia californica,85,POINT (-119.659 35.04),5
67,-117.396,33.953,28,03,1978,yes,Lasthenia californica,87,POINT (-117.396 33.953),6
68,-119.738,34.0,29,04,1972,yes,Lasthenia californica,120,POINT (-119.738 34),6
76,-123.161,39.201,29,04,2013,yes,Lasthenia californica,119,POINT (-123.161 39.201),1
81,-122.419,39.105,06,05,1983,yes,Lasthenia californica,126,POINT (-122.419 39.105),2
82,-123.811,39.45,07,04,1983,yes,Lasthenia californica,97,POINT (-123.811 39.45),1
83,-123.765,39.196,06,06,2000,yes,Lasthenia californica,158,POINT (-123.765 39.196),1
85,-121.608,37.833,21,03,1992,yes,Lasthenia californica,81,POINT (-121.608 37.833),5
86,-121.469,37.326,03,04,1973,yes,Lasthenia californica,93,POINT (-121.469 37.326),4
92,-122.655,38.583,02,04,1995,yes,Lasthenia californica,92,POINT (-122.655 38.583),1
93,-120.466,37.94,05,05,1993,yes,Lasthenia californica,125,POINT (-120.466 37.94),5
94,-119.217,35.733,19,04,1992,yes,Lasthenia californica,110,POINT (-119.217 35.733),5
95,-122.186,38.128,12,04,2005,yes,Lasthenia californica,102,POINT (-122.186 38.128),1
96,-121.087,38.452,10,04,1994,yes,Lasthenia californica,100,POINT (-121.087 38.452),5
97,-121.724,37.727,07,04,1989,yes,Lasthenia californica,97,POINT (-121.724 37.727),4
98,-117.179,33.06,28,03,2000,yes,Lasthenia californica,88,POINT (-117.179 33.06),6
99,-121.156,37.116,31,03,2004,yes,Lasthenia californica,91,POINT (-121.156 37.116),5
100,-119.62,35.12,18,04,1999,yes,Lasthenia californica,108,POINT (-119.62 35.12),5
101,-121.194,38.647,22,04,1991,yes,Lasthenia californica,112,POINT (-121.194 38.647),2
102,-121.194,38.647,17,04,1990,yes,Lasthenia californica,107,POINT (-121.194 38.647),2
103,-121.05,38.4,13,04,1996,yes,Lasthenia californica,104,POINT (-121.05 38.4),5
104,-121.05,38.4,26,03,1996,yes,Lasthenia californica,86,POINT (-121.05 38.4),5
105,-119.533,35.05,26,04,1998,yes,Lasthenia californica,116,POINT (-119.533 35.05),5
106,-121.1,38.4,15,04,1996,yes,Lasthenia californica,106,POINT (-121.1 38.4),5
107,-122.561,38.655,20,04,1996,yes,Lasthenia californica,111,POINT (-122.561 38.655),2
108,-119.967,35.267,06,04,1993,yes,Lasthenia californica,96,POINT (-119.967 35.267),5
109,-122.496,37.618,13,03,2011,yes,Lasthenia californica,72,POINT (-122.496 37.618),4
110,-121.201,38.774,29,03,1979,yes,Lasthenia californica,88,POINT (-121.201 38.774),2
111,-121.157,37.116,31,03,2004,yes,Lasthenia californica,91,POINT (-121.157 37.116),5
112,-121.721,37.213,25,04,2011,yes,Lasthenia californica,115,POINT (-121.721 37.213),4
113,-122.219,38.157,20,04,2011,yes,Lasthenia californica,110,POINT (-122.219 38.157),1
114,-119.919,35.275,06,04,1993,yes,Lasthenia californica,96,POINT (-119.919 35.275),5
115,-124.067,40.033,17,06,1974,yes,Lasthenia californica,168,POINT (-124.067 40.033),1
116,-120.857,37.27,31,03,2004,yes,Lasthenia californica,91,POINT (-120.857 37.27),5
117,-121.156,38.642,12,04,1993,yes,Lasthenia californica,102,POINT (-121.156 38.642),2
118,-122.396,37.757,18,04,2009,yes,Lasthenia californica,108,POINT (-122.396 37.757),4
119,-122.202,38.144,13,04,2009,yes,Lasthenia californica,103,POINT (-122.202 38.144),1
120,-121.724,37.728,16,04,1989,yes,Lasthenia californica,106,POINT (-121.724 37.728),4
122,-120.2,37.85,08,05,2010,yes,Lasthenia californica,128,POINT (-120.2 37.85),5
123,-121.792,40.355,27,05,2010,yes,Lasthenia californica,147,POINT (-121.792 40.355),2
126,-120.382,34.037,20,03,1985,yes,Lasthenia californica,79,POINT (-120.382 34.037),6
127,-121.16,35.96,18,05,1994,yes,Lasthenia californica,138,POINT (-121.16 35.96),4
128,-120.372,34.039,22,03,1985,yes,Lasthenia californica,81,POINT (-120.372 34.039),6
129,-121.158,35.959,12,05,1982,yes,Lasthenia californica,132,POINT (-121.158 35.959),4
131,-119.44,34.013,28,03,1979,yes,Lasthenia californica,87,POINT (-119.44 34.013),6
